Exp,class,profile,Wood,noWood,hp,hpue,h,htop,v,Froude,Res,Res_rel,Yres,Yres_rel,Zres,angle_res,Resy,Resy_rel,Yy,Yy_rel,Zy,angle_y,Resz,Resz_rel,Yz,Yz_rel,Zz,Zz_rel,angle_z,Reszm,Reszm_rel,Yzm,Yzm_rel,Zzm,Zzm_rel,angle_zm,Ftop,Ftop_rel,t_res,t_y,t_z,t_zm,t_ftop,t_start,t_trans,year,Yy/h,Ftop/hpue,t_spanZ,t_spanZ_ext,integral_y,integral_z_pos,integral_z_neg,integral_z_cl
20,1_20,1,20,1,20,6,142.3056472689038,41.30564726890381,0.8489598532538458,0.7185245014806554,122.0198080346184,1.6229958440878045,122.0021797987932,1.9394967688125853,2.074048492216185,0.9739398055578166,122.0198080346184,1.74842980250269,122.0021797987932,1.801544137967201,2.074048492216185,0.9739398055578166,58.07948762696246,1.0351460155256245,26.77404472271559,0.8629155834690587,-51.54005638526709,1.1721990069315456,-62.54901145817521,97.11832840248285,2.105006333714787,96.11301017426597,2.127096656970778,13.93768226549728,1.7151732799049677,8.251143779446883,-38.07102082426836,1.306571669757563,4.32,4.32,5.55875,4.265833333333333,6.5,4.12375,4.33625,2023,0.8573249350270356,6.34517013737806,0.2124999999999994,1.2929166666666667,72.53215469759337,1.086246917737361,-106.18672060725604,-105.33106406952534
21,4_0,4,0,0,57,57,122.5845471704901,-29.415452829509903,0.90866897669835,0.8286160355653899,38.30306291307588,0.5094722973676432,38.12421871329941,0.6060694909705205,-3.697103734487361,-5.538949895729743,38.30306291307588,0.5488470913292794,38.12421871329941,0.5629609475076233,-3.697103734487361,-5.538949895729743,26.12246570902596,0.4655785958044477,21.06440270214847,0.678896354151905,-15.44908261098235,0.3513655312913774,-36.25711689796233,21.91878217126378,0.4750820576998877,21.72086032650026,0.4807087958566351,2.938917921272752,0.3616636822665456,7.705549703010734,-6.086741418392421,0.2088928462181401,4.824166666666667,4.824166666666667,5.359583333333333,4.6425,6.5,4.585416666666666,4.715833333333333,2023,0.3110034632691215,0.1067849371647793,0.130416666666667,0.7170833333333331,23.21785484806477,0.1706021084179626,-17.356271554644017,-16.840817715272493
22,4_0,4,0,0,57,57,95.73749184822702,-56.26250815177298,1.169100764303163,1.206358581585457,31.56001867958786,0.4197824925422958,31.55701958997535,0.5016692130341598,-0.4350789053105067,-0.7898909990787453,31.56001867958786,0.4522255698949934,31.55701958997535,0.4659864581747299,-0.4350789053105067,-0.7898909990787453,10.80736504444015,0.1926187940213449,10.30098448973713,0.3319961602113016,-3.269381859921232,0.0743570426239419,-17.60867717073586,30.95083492011086,0.6708486916145124,30.67358505696502,0.6788433752483646,4.133444327081967,0.5086622817723426,7.674707659003287,-0.2232672171373253,0.0076623797939057,4.056666666666667,4.056666666666667,4.327916666666667,4.005416666666667,6.5,3.8916666666666666,4.161666666666667,2023,0.3296202875254221,0.0039169687217074,0.2700000000000004,0.3224999999999998,6.657866877934111,0.17826100413789722,-1.0596197392360942,-2.179739738773456
23,4_0,4,0,0,57,57,103.608390978639,-48.391609021361006,1.066957998236215,1.058315983100248,59.07747657259056,0.785794540254531,58.99260853264551,0.9378190932456067,3.165497859583372,3.07150164560685,59.07747657259056,0.8465250221248214,58.99260853264551,0.8711138461677934,3.165497859583372,3.07150164560685,53.27792044418864,0.9495680715628488,46.80801587265303,1.5086015858302717,-25.44693413601637,0.5787512279908472,-28.53048405094144,52.25478608849355,1.1326044989915434,52.06922023495286,1.1523545469237435,4.399883325520671,0.5414503050707343,4.830056710936052,-11.42910089008634,0.3922390077932651,4.303333333333334,4.303333333333334,4.92875,4.310833333333333,6.5,4.1866666666666665,4.3741666666666665,2023,0.5693806068738975,0.2005105419313393,0.1875,0.6179166666666669,45.929036195484336,0.11078931812631086,-37.52446043258062,-37.81072399222562
24,4_0,4,0,0,57,57,107.132788594426,-44.867211405574,1.078549037169727,1.052068910536289,42.33102969930933,0.5630486261578498,42.32497896716069,0.6728499448309102,0.7157030342358438,0.9687625711906832,42.33102969930933,0.6065640906097856,42.32497896716069,0.6249914376417368,0.7157030342358438,0.9687625711906832,29.87674232308256,0.5324907645753307,28.47114441693205,0.9176123537182505,-9.056139764274402,0.205967916662005,-17.64489633950964,36.99660939443343,0.8018887719989154,36.73496151224931,0.8129889354727254,4.392232846496325,0.5405088359691238,6.818228699372543,0.2416950182603879,-0.0082948094572567,3.931666666666666,3.931666666666666,4.354166666666667,3.921666666666667,6.5,3.778333333333333,3.9583333333333335,2023,0.3950702630115502,0.0042402634782524,0.1800000000000006,0.4325000000000001,22.57329844414686,0.2110508942576412,-5.001588480482367,-4.5809339631842585
25,4_0,4,0,0,57,57,109.4811563687307,-42.518843631269306,1.055822134184867,1.018794450503822,40.33239991467143,0.5364646814149018,40.31856737164816,0.640953557300602,1.056223449302341,1.50063138659675,40.33239991467143,0.5779255938286807,40.31856737164816,0.59536377808511,1.056223449302341,1.50063138659675,25.57649656222815,0.4558478318118723,23.25872861267461,0.7496185047650487,-10.63901873856888,0.2419680550377015,-24.5803268623831,27.82041327187512,0.6029978800825704,27.32143106877674,0.604656170737776,5.245455077684529,0.645506492313867,10.86800011051567,-1.354975418283892,0.046501839362792,4.165416666666666,4.165416666666666,4.5441666666666665,4.1225,6.5,4.00625,4.189166666666667,2023,0.368269469458798,0.023771498566384,0.1829166666666672,0.4216666666666668,20.779699804449024,0.19350331897512696,-8.041977199820591,-8.494649019310842
26,4_10,4,10,1,57,57,136.0027160344546,-15.997283965545392,1.083908541846419,0.9383921030442306,84.30163648771743,1.121303236524913,84.2823268499063,1.339855573588829,1.804243684432793,1.226351542235765,84.30163648771743,1.2079636577780517,84.2823268499063,1.2445542540395351,1.804243684432793,1.226351542235765,35.80052778958849,0.6380699143410312,20.17293244579882,0.6501646632785192,-29.57584464643968,0.6726569226965078,-55.70309486936314,69.94091454655948,1.515945244610991,68.07589777366024,1.5066015965173474,16.04380472080409,1.9743530266331948,13.26121026337563,-22.51642026813485,0.7727483053973339,4.70375,4.70375,5.3445833333333335,4.543333333333333,6.5,4.461666666666667,4.717083333333333,2023,0.6197106154009043,0.3950249169848219,0.2554166666666662,0.8012500000000005,38.46261480856081,0.44906342978786185,-51.33047889906667,-51.30364802762825
27,4_10,4,10,1,57,57,137.9209088357282,-14.079091164271802,0.9173480713039932,0.78865051884261,90.8392601741376,1.2082607251833082,90.72270000707094,1.442239669912915,-4.600314381829774,-2.902835102786356,90.8392601741376,1.3016416947705498,90.72270000707094,1.339655968834684,-4.600314381829774,-2.902835102786356,48.29272540526029,0.8607173431557829,29.14655893931939,0.9393806641362452,-38.50539480468488,0.8757457542180919,-52.87619402330097,46.02958018137211,0.9976753040731274,45.04887289557798,0.996985806216502,9.450994789514183,1.1630408429975387,11.84848831619842,-26.25060876908191,0.9009031276016752,4.340833333333333,4.340833333333333,4.935,4.190416666666667,6.5,4.138333333333334,4.293333333333333,2023,0.6577878638773106,0.4605369959488054,0.1549999999999993,0.7445833333333329,41.19380815046571,0.1849282517035842,-72.55631615345577,-72.72445806075665
28,4_10,4,10,1,57,57,132.573467811479,-19.42653218852101,1.311594537995547,1.150103135495821,58.45909696827393,0.7775694205461816,58.2262599514438,0.9256362732379964,5.212357471715327,5.115426437997822,58.45909696827393,0.837664220367616,58.2262599514438,0.8597975664391826,5.212357471715327,5.115426437997822,43.91756663176158,0.7827392418204555,23.53079106920794,0.7583869570422761,-37.08172771746891,0.843366644397934,-57.60219085819206,44.81805702004003,0.9714159566358728,43.60754395703955,0.9650874611204372,10.3460304023535,1.2731840603892572,13.34683344516544,-32.96831957307555,1.1314504161190186,4.681666666666667,4.681666666666667,5.4816666666666665,4.585416666666666,6.5,4.505416666666667,4.82125,2023,0.4391999463591178,0.5783915714574658,0.3158333333333329,0.8962500000000002,34.16244690210088,1.0785427250455362,-64.89745442367955,-64.58368328894018
29,4_10,4,10,1,57,57,125.4241385407122,-26.5758614592878,0.841043263723676,0.758216567191191,73.39270487280669,0.9762026093430128,73.3466315254687,1.1660083047822805,2.60014853691547,2.030293332819131,73.39270487280669,1.0516488638426085,73.3466315254687,1.0830724031510746,2.60014853691547,2.030293332819131,43.68762582448395,0.7786410253900873,39.11981102923495,1.2608141544953595,-19.44862553542189,0.4423289599916276,-26.43451629129682,67.22756349455653,1.4571342946697243,66.63286261531523,1.474665490722288,8.922270624855305,1.097975967619521,7.626651571315213,-8.927538647145578,0.3063870845719655,4.137083333333333,4.137083333333333,4.440416666666667,4.145,6.5,4.00125,4.18375,2023,0.584788800456147,0.1566234850376417,0.1825000000000001,0.2954166666666671,33.64266267684021,0.21238744693051678,-30.154976469310387,-29.266378092756405
30,4_10,4,10,1,57,57,132.0407777184794,-19.9592222815206,0.910956561395508,0.8004037741263765,77.06656968382313,1.025068997645545,76.95816667352449,1.2234217113432064,-4.086165082518328,-3.039318457299524,77.06656968382313,1.1042919127820447,76.95816667352449,1.1364021058315736,-4.086165082518328,-3.039318457299524,47.01295750719493,0.8379081433055939,35.94524144977342,1.1584991853043194,-30.3011186376148,0.6891521598350487,-40.13021790351092,42.98467213511783,0.931677970424822,42.88295292972098,0.949051389114308,2.955399565356673,0.3636919158711834,3.942466218684155,-14.879035369227,0.5106384243408677,4.2175,4.2175,4.796666666666667,4.119583333333333,6.5,4.065,4.128333333333333,2023,0.5828363631544562,0.2610357082320526,0.0633333333333325,0.6770833333333339,41.62848025092427,0.03321757638022938,-47.982481804714915,-48.16766361678883
31,4_15,4,15,1,57,57,132.1226237081754,-19.87737629182459,0.8805504784431781,0.7734480680650011,87.46001391546267,1.1633130833018963,86.97065250457044,1.3825925060709865,9.239027926258236,6.063877596861334,87.46001391546267,1.253220254318958,86.97065250457044,1.2842513916816196,9.239027926258236,6.063877596861334,42.48197910736968,0.7571528813594741,38.22714808678327,1.232044023878024,-18.531154794835,0.4214625045309361,-25.8624490033679,71.38594319155284,1.5472657430189158,69.74717980039584,1.5435890803707712,15.20801746576007,1.8715009210800857,12.30052772771873,-5.828560807144712,0.2000322623663429,4.392083333333333,4.392083333333333,4.925416666666667,4.332083333333333,6.5,4.2325,4.4470833333333335,2023,0.658257080155069,0.1022554527569247,0.2145833333333335,0.5933333333333337,47.98005551318231,1.4817789374675947,-23.080243679344424,-23.02859608993341
32,4_15,4,15,1,57,57,128.7000768039598,-23.2999231960402,0.9779499077440216,0.8703475343598329,62.47479222648025,0.8309825246984425,62.44778816211844,0.9927468800940192,1.836686527706187,1.68467228693666,62.47479222648025,0.8952053801211591,62.44778816211844,0.922134726428838,1.836686527706187,1.68467228693666,48.24507354701674,0.8598680479362721,27.70965706254145,0.8930699541098424,-39.49382264397057,0.8982260193340876,-54.94573127546864,57.7055504250745,1.250747939481364,57.55767836597872,1.2738207347089536,4.128463513144013,0.5080493420585636,4.102652007201024,-26.30339895100832,0.9027148509191236,4.499583333333334,4.499583333333334,5.02875,4.506666666666667,6.5,4.422083333333333,4.575833333333334,2023,0.4852195096762915,0.461463139491374,0.1537500000000005,0.5220833333333328,36.30369108275883,-0.04043336917870965,-65.20868207036932,-65.01195222486822
33,4_15,4,15,1,57,57,142.1854053772728,-9.814594622727212,1.029973552747576,0.8720955275402185,94.305317566593,1.2543630493381612,94.20592223499791,1.4976132564116325,4.328641494681238,2.630817273618582,94.305317566593,1.3513070576306063,94.20592223499791,1.3910909398844469,4.328641494681238,2.630817273618582,39.63593007674038,0.706427979429058,34.15011678807237,1.100643113840555,-20.1190575427695,0.4575769008815921,-30.50386293278974,75.08445252832844,1.6274296596274402,74.27705625462477,1.643840701299203,10.98152656173604,1.3513883135277736,8.409998749897602,-8.42570792000537,0.2891645936353088,4.337916666666667,4.337916666666667,5.087916666666667,4.298333333333333,6.5,4.119166666666667,4.375416666666666,2023,0.6625569057881379,0.1478194371930766,0.2562499999999996,0.7895833333333337,50.12080665086314,0.7118907086209824,-28.012065835340124,-27.523697765828476
34,4_15,4,15,1,57,57,145.0985744716454,-6.9014255283545936,1.275779015505043,1.069324156627809,58.8631561225878,0.7829438457217317,58.84463477938554,0.9354667203880882,1.476518334757704,1.437353152945811,58.8631561225878,0.8434540103923304,58.84463477938554,0.8689287930138403,1.476518334757704,1.437353152945811,31.29021961229759,0.5576830561011199,26.78212280254868,0.863175936398348,-16.1801032621864,0.3679914673396892,-31.13777723743917,29.91017813654173,0.6482928140920131,27.5145235298598,0.6089295394285634,11.72901321870049,1.4433741341749178,23.08779703798309,-6.527669136529633,0.2240251871025141,4.161666666666667,4.161666666666667,4.5,4.05125,6.5,3.900416666666666,4.187916666666666,2023,0.4055493652757059,0.1145205111671865,0.2875000000000001,0.4487500000000004,26.839292481948345,0.7963958680482532,-21.55191636591654,-21.760179611146913
35,4_15,4,15,1,57,57,105.3045423500093,-46.6954576499907,1.378129117259552,1.355913086840122,73.88980531422705,0.9828145845912492,73.79273017905594,1.1731000378859924,3.786330954291004,2.937290697799718,73.88946555964345,1.0587669801842656,73.79452137997437,1.0896861648327956,3.744560720597595,2.904872369118721,43.60971859263273,0.7772524910912072,33.99985923074171,1.095800379427528,-27.30965265283257,0.6211158847014111,-38.77241972904928,55.85886935546655,1.2107217630446558,55.2279759648678,1.222261615083475,8.371616122055778,1.0302123415251647,8.619442091703043,-13.05306638419676,0.4479724045167897,3.772916666666666,3.7725,4.3429166666666665,3.87375,6.5,3.671666666666667,3.973333333333333,2023,0.700772442794514,0.2290011646350308,0.3016666666666663,0.4691666666666667,36.989019971751134,1.1159631650476158,-45.702377565277125,-44.816889419492924
36,4_20,4,20,1,57,57,122.9575481163658,-29.0424518836342,0.8710352039037992,0.7930920691840933,63.38686264295789,0.8431140508768697,63.23554439076995,1.0052700224067332,4.377245860147017,3.959771213931896,63.38686264295789,0.908274496716541,63.23554439076995,0.9337671219992678,4.377245860147017,3.959771213931896,27.57764836655251,0.491514198740127,24.300641889179,0.7831989074360036,-13.03861546342614,0.2965431776741198,-28.21597667751007,57.5611730111917,1.2476186087394965,57.34836900474406,1.269188466488994,4.945018798756452,0.6085347585552967,4.928293936300218,-4.129115237910375,0.1417084405464358,4.665416666666666,4.665416666666666,5.31625,4.659166666666667,6.5,4.4591666666666665,4.780833333333334,2023,0.5142876168197862,0.0724406182089539,0.3216666666666672,0.6570833333333335,31.358024036431903,0.46810056492529273,-15.269716279997354,-14.883438724356965
37,4_20,4,20,1,57,57,112.4713359114584,-39.5286640885416,1.500936134803412,1.428916275096472,79.55692607458359,1.0581934397964048,78.78195596771462,1.2524149100623636,11.07735980899023,8.003764118846675,79.55692607458359,1.1399763922333097,78.78195596771462,1.163333074747492,11.07735980899023,8.003764118846675,70.06621756543996,1.248784534768285,42.38106685256163,1.3659229828689894,-55.79534045389695,1.268978873103469,-52.78039535107727,79.55692607458359,1.7243689840279024,78.78195596771462,1.7435395568685783,11.07735980899023,1.3631815673762857,8.003764118846675,-35.62878399827732,1.2227557546969283,4.060833333333333,4.060833333333333,4.673333333333333,4.060833333333333,6.5,3.91625,4.225,2023,0.700462525222735,0.6250663859346899,0.3087499999999998,0.6124999999999998,54.11996896658816,1.268861181223179,-104.99299331996777,-104.87482178902127
38,4_20,4,20,1,57,57,117.0203530025927,-34.9796469974073,1.319331281308468,1.231370242212528,71.8598594434626,0.9558141019233926,71.75254559918,1.1406667534399566,3.925760979962456,3.131672847394157,71.8598594434626,1.029684621524387,71.75254559918,1.0595333470402932,3.925760979962456,3.131672847394157,55.43657850782782,0.988041659825377,51.29470106579038,1.6532054591476766,-21.0254103224113,0.4781904954862239,-22.2884488679017,70.95551414582643,1.537936341634308,70.81780175910797,1.5672832335881868,4.418590466003741,0.5437524085976184,3.570272157097752,-5.097722342760322,0.1749503808706655,4.317083333333334,4.317083333333334,4.9975,4.320833333333334,6.5,4.159166666666667,4.42625,2023,0.6131629563413661,0.0894337253115846,0.2670833333333329,0.6766666666666659,53.89293293698998,0.29633595256604395,-23.12347429876111,-22.958770466835727
39,4_20,4,20,1,57,57,118.2790060313348,-33.7209939686652,1.089747963374862,1.011667338806582,85.5797954399981,1.13830413745279,85.54917985955564,1.3599950278414297,-2.288932700915073,-1.532626057307877,85.5797954399981,1.2262784809243812,85.54917985955564,1.263261228103145,-2.288932700915073,-1.532626057307877,36.40075912890875,0.6487677890068976,35.05108499097844,1.129680919317818,-9.820219249896583,0.2233457248577895,-15.65121269431802,21.09125408240069,0.4571456712624626,19.83985885733692,0.4390799681926178,7.156884747523437,0.88072731552355,19.83602899219587,-1.903697266221937,0.0653336018312113,4.503333333333333,4.503333333333333,5.064166666666667,4.3475,6.5,4.1975,4.465416666666667,2023,0.7232828777483277,0.0333981976530164,0.2679166666666672,0.7166666666666668,45.869844802513335,-0.03411604712664452,-8.076348380824982,-8.691807895008589
40,4_20,4,20,1,57,57,110.7346968923044,-41.2653031076956,1.167718240888973,1.120370590245949,78.57334024181598,1.0451106809837325,78.19961251969237,1.2431572620626226,7.654436525711927,5.590491224213112,78.57334024181598,1.1258825265648569,78.19961251969237,1.1547339052343053,7.654436525711927,5.590491224213112,41.72697640952282,0.7436965292751203,35.82424187716639,1.1545994227590246,-21.39542601135,0.4866059310433923,-30.84705031884254,51.05757997875605,1.1066554687187462,48.87400501281859,1.0816405862957197,14.77186878137138,1.817828398254606,16.81712054224531,-9.358979622956024,0.3211938468799294,4.34375,4.34375,4.96375,4.217083333333333,6.5,4.075833333333334,4.514166666666667,2023,0.7061888885264733,0.1641926249641407,0.4383333333333334,0.746666666666667,53.407792286150574,2.9780216503069172,-29.35622669707936,-26.562619155733575
